subject,day,condition,choice_correct,confidence
sub41,1,predictable,False,2
sub41,1,unpredictable,False,3
sub41,1,unpredictable,False,3
sub41,1,predictable,False,2
sub41,1,unpredictable,True,3
sub41,1,unpredictable,True,3
sub41,1,unpredictable,False,5
sub41,1,unpredictable,False,3
sub41,1,unpredictable,False,2
sub41,1,predictable,True,2
sub41,1,predictable,False,2
sub41,1,predictable,True,2
sub41,1,predictable,True,2
sub41,1,unpredictable,False,4
sub41,1,predictable,True,5
sub01,2,predictable,True,7
sub01,2,predictable,True,5
sub01,2,unpredictable,False,2
sub01,2,predictable,True,5
sub01,2,unpredictable,True,1
sub01,2,unpredictable,True,1
sub01,2,unpredictable,True,1
sub01,2,predictable,True,7
sub01,2,unpredictable,False,3
sub01,2,predictable,True,6
sub01,2,unpredictable,True,1
sub01,2,predictable,True,7
sub01,2,predictable,False,1
sub01,2,unpredictable,True,1
sub01,2,unpredictable,True,1
sub01,2,predictable,True,4
sub02,2,predictable,True,4
sub02,2,unpredictable,True,3
sub02,2,unpredictable,False,1
sub02,2,unpredictable,False,1
sub02,2,predictable,False,3
sub02,2,unpredictable,True,3
sub02,2,predictable,True,7
sub02,2,predictable,False,4
sub02,2,unpredictable,True,3
sub02,2,unpredictable,False,5
sub02,2,predictable,True,7
sub02,2,predictable,True,2
sub02,2,predictable,True,5
sub02,2,unpredictable,True,3
sub02,2,unpredictable,False,1
sub02,2,predictable,True,7
sub03,2,unpredictable,False,1
sub03,2,predictable,True,7
sub03,2,unpredictable,True,6
sub03,2,unpredictable,True,3
sub03,2,predictable,True,6
sub03,2,unpredictable,False,3
sub03,2,predictable,True,7
sub03,2,predictable,True,7
sub03,2,unpredictable,False,4
sub03,2,unpredictable,False,2
sub03,2,predictable,True,7
sub03,2,predictable,True,7
sub03,2,unpredictable,False,4
sub03,2,predictable,True,6
sub03,2,predictable,True,7
sub03,2,unpredictable,True,3
sub04,2,unpredictable,False,3
sub04,2,unpredictable,True,2
sub04,2,predictable,False,2
sub04,2,unpredictable,False,2
sub04,2,unpredictable,True,3
sub04,2,predictable,True,4
sub04,2,predictable,True,6
sub04,2,unpredictable,False,2
sub04,2,unpredictable,True,4
sub04,2,predictable,True,2
sub04,2,predictable,True,3
sub04,2,unpredictable,False,3
sub04,2,predictable,True,5
sub04,2,predictable,True,4
sub04,2,predictable,False,4
sub04,2,unpredictable,False,2
sub05,2,predictable,True,7
sub05,2,unpredictable,False,2
sub05,2,unpredictable,False,3
sub05,2,predictable,False,4
sub05,2,predictable,True,6
sub05,2,unpredictable,False,4
sub05,2,unpredictable,False,5
sub05,2,unpredictable,True,2
sub05,2,unpredictable,False,5
sub05,2,unpredictable,False,2
sub05,2,predictable,True,7
sub05,2,predictable,False,2
sub05,2,predictable,False,2
sub05,2,predictable,True,7
sub05,2,unpredictable,True,2
sub05,2,predictable,False,5
sub06,2,predictable,True,7
sub06,2,predictable,True,6
sub06,2,predictable,False,1
sub06,2,predictable,False,1
sub06,2,predictable,False,2
sub06,2,predictable,True,2
sub06,2,unpredictable,False,4
sub06,2,unpredictable,True,4
sub06,2,unpredictable,True,3
sub06,2,unpredictable,False,2
sub06,2,unpredictable,True,2
sub06,2,unpredictable,False,3
sub06,2,unpredictable,False,2
sub06,2,predictable,True,6
sub06,2,predictable,True,7
sub06,2,unpredictable,False,1
sub07,2,unpredictable,True,5
sub07,2,predictable,False,6
sub07,2,predictable,True,7
sub07,2,unpredictable,True,4
sub07,2,predictable,True,6
sub07,2,predictable,True,3
sub07,2,predictable,True,6
sub07,2,predictable,True,7
sub07,2,unpredictable,True,2
sub07,2,unpredictable,True,5
sub07,2,unpredictable,False,3
sub07,2,predictable,False,2
sub07,2,unpredictable,False,4
sub07,2,predictable,True,6
sub07,2,unpredictable,True,2
sub07,2,unpredictable,False,3
sub08,2,predictable,False,2
sub08,2,unpredictable,False,4
sub08,2,unpredictable,True,1
sub08,2,unpredictable,False,2
sub08,2,unpredictable,False,2
sub08,2,predictable,False,2
sub08,2,predictable,True,6
sub08,2,unpredictable,False,2
sub08,2,predictable,False,2
sub08,2,predictable,True,7
sub08,2,unpredictable,False,5
sub08,2,unpredictable,False,2
sub08,2,predictable,False,2
sub08,2,predictable,False,3
sub08,2,predictable,True,5
sub08,2,unpredictable,False,1
sub09,2,predictable,True,7
sub09,2,predictable,True,7
sub09,2,unpredictable,True,3
sub09,2,unpredictable,False,1
sub09,2,predictable,True,7
sub09,2,unpredictable,True,1
sub09,2,unpredictable,True,1
sub09,2,predictable,True,7
sub09,2,unpredictable,True,1
sub09,2,predictable,True,7
sub09,2,predictable,True,7
sub09,2,unpredictable,True,1
sub09,2,unpredictable,False,1
sub09,2,predictable,True,7
sub09,2,predictable,True,7
sub09,2,unpredictable,False,4
sub10,2,predictable,False,3
sub10,2,predictable,True,6
sub10,2,unpredictable,False,2
sub10,2,unpredictable,True,3
sub10,2,predictable,True,6
sub10,2,unpredictable,False,2
sub10,2,unpredictable,True,1
sub10,2,predictable,True,7
sub10,2,unpredictable,False,3
sub10,2,unpredictable,True,3
sub10,2,predictable,True,7
sub10,2,unpredictable,False,1
sub10,2,predictable,True,7
sub10,2,predictable,True,3
sub10,2,predictable,True,6
sub10,2,unpredictable,False,5
sub11,2,unpredictable,True,4
sub11,2,unpredictable,False,5
sub11,2,predictable,True,7
sub11,2,predictable,True,5
sub11,2,unpredictable,False,1
sub11,2,predictable,True,7
sub11,2,predictable,False,4
sub11,2,unpredictable,False,4
sub11,2,predictable,False,3
sub11,2,predictable,True,1
sub11,2,unpredictable,False,4
sub11,2,unpredictable,False,3
sub11,2,unpredictable,False,3
sub11,2,predictable,False,2
sub11,2,predictable,False,3
sub11,2,unpredictable,False,2
sub12,2,predictable,True,3
sub12,2,unpredictable,True,3
sub12,2,predictable,False,2
sub12,2,unpredictable,False,5
sub12,2,predictable,True,4
sub12,2,predictable,False,3
sub12,2,unpredictable,False,3
sub12,2,predictable,False,3
sub12,2,predictable,False,3
sub12,2,predictable,True,1
sub12,2,unpredictable,False,3
sub12,2,unpredictable,False,4
sub12,2,unpredictable,False,2
sub12,2,unpredictable,False,3
sub12,2,unpredictable,False,1
sub12,2,predictable,False,3
sub13,2,predictable,False,5
sub13,2,predictable,True,4
sub13,2,predictable,True,4
sub13,2,unpredictable,False,4
sub13,2,predictable,False,4
sub13,2,unpredictable,True,2
sub13,2,unpredictable,False,3
sub13,2,unpredictable,True,4
sub13,2,unpredictable,False,3
sub13,2,predictable,True,7
sub13,2,unpredictable,True,4
sub13,2,unpredictable,True,2
sub13,2,unpredictable,True,4
sub13,2,predictable,True,5
sub13,2,predictable,True,6
sub13,2,predictable,False,4
sub14,2,predictable,False,2
sub14,2,unpredictable,False,5
sub14,2,unpredictable,True,5
sub14,2,predictable,False,4
sub14,2,predictable,True,2
sub14,2,predictable,False,3
sub14,2,predictable,True,5
sub14,2,unpredictable,False,4
sub14,2,unpredictable,False,3
sub14,2,unpredictable,True,2
sub14,2,predictable,False,3
sub14,2,predictable,True,3
sub14,2,unpredictable,False,1
sub14,2,unpredictable,True,3
sub14,2,unpredictable,True,2
sub14,2,predictable,True,7
sub15,2,unpredictable,False,2
sub15,2,unpredictable,True,3
sub15,2,predictable,True,4
sub15,2,unpredictable,False,2
sub15,2,unpredictable,False,3
sub15,2,predictable,True,7
sub15,2,predictable,False,3
sub15,2,predictable,False,2
sub15,2,unpredictable,True,2
sub15,2,predictable,True,4
